"Paper_ID","Year","Title","Primary_Category","Secondary_Category","Role","Method","Task","Input_Level","Output_Level","Platform","Feedback","Verification","Benchmark","Tool","Agentic","Priority","Classification_Confidence","Classification_Rationale","Needs_Review","PDF_Path","Note_Path"
"45","2026","Beyond Pass-by-Pass Optimization: Intent-Driven IR Optimization with Large Language Models (IntOpt)","TRANSLATOR","T2_IR_ASM_Optimization_Superoptimization","TRANSLATOR_TRANSFORMER","NONE","OPT;VERIFICATION","LLVM_IR;ASM","LLVM_IR;ASM","LLVM","Verifier_Feedback","Alive2","NO","Alive2;LLVM","NO","高","HIGH","The model directly emits optimized IR or assembly; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/16-Beyond Pass-by-Pass Optimization Intent-Driven IR Optimization with Large Language Models. arXi/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/45_Beyond_Pass_by_Pass_Optimization_Intent_Driven_IR_Optimization_with_La.md"
"55","2021","Program Synthesis with Large Language Models","SUPPORTING","B3_LLM_RL_Foundation","INFRA_EVALUATOR","NONE","ANALYSIS","NL;SOURCE","SOURCE","GPU","NONE","Functional_Test","YES","NONE","NO","低","HIGH","The work provides a foundation model or learning foundation rather than one final compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/03_LLM_RL_Foundation/45-Program Synthesis with LLMs. arXiv 2021/paper.pdf","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/55_Program_Synthesis_with_Large_Language_Models.md"
"56","2021","Learning C to x86 Translation: An Exploration of Neural Compilation","TRANSLATOR","T3_Translation_CrossLanguage_CrossISA","TRANSLATOR_TRANSFORMER","NONE","TRANSLATION","SOURCE;ASM;BINARY","SOURCE;ASM","GCC;x86","NONE","NONE","NO","NONE","NO","低","HIGH","The model directly emits a translated program representation; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/46-Learning C to x86 Translation. arXiv 2021/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/56_Learning_C_to_x86_Translation.md"
"57","2024","Introducing Compiler Semantics into Large Language Models as Program Language Translators","TRANSLATOR","T3_Translation_CrossLanguage_CrossISA","TRANSLATOR_TRANSFORMER","Formal_Symbolic","TRANSLATION","SOURCE;ASM;BINARY","SOURCE;ASM","x86","NONE","NONE","NO","NONE","NO","低","HIGH","The model directly emits a translated program representation; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/47-Introducing Compiler Semantics LLMs. EMNLP 2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/57_Compiler_Semantics_for_C_to_x86_LLMs.md"
"58","2025","LEGO-Compiler: Enhancing Neural Compilation Through Composability","TRANSLATOR","T3_Translation_CrossLanguage_CrossISA","TRANSLATOR_TRANSFORMER","NONE","TRANSLATION","SOURCE;ASM;BINARY","SOURCE;ASM","NONE","NONE","NONE","YES","NONE","NO","中","HIGH","The model directly emits a translated program representation; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/48-LEGO-Compiler Neural Compilation. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/58_LEGO_Compiler_Composable_Neural_Compilation.md"
"59","2024","Rectifier: Code Translation with Corrector via LLMs","TRANSLATOR","T3_Translation_CrossLanguage_CrossISA","TRANSLATOR_TRANSFORMER","NONE","TRANSLATION","SOURCE;ASM;BINARY","SOURCE;ASM","NONE","Compiler_Diagnostic","Compiler_Diagnostic","NO","NONE","NO","低","HIGH","The model directly emits a translated program representation; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/49-Rectifier Code Translation LLMs. arXiv 2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/59_Rectifier_for_Code_Translation.md"
"60","2024","Virtual Compiler Is All You Need for Assembly Code Search","SUPPORTING","B3_LLM_RL_Foundation","INFRA_EVALUATOR","Search;Synthetic_Data","ANALYSIS","NL;SOURCE","SOURCE","NONE","NONE","NONE","NO","NONE","NO","低","HIGH","The work provides a foundation model or learning foundation rather than one final compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING. Audit evidence: The note states the virtual compiler is trained to synthesize retrieval data and does not optimize or execute programs; it is a language-model/data foundation, not Selector.","NO","90_Supporting/03_LLM_RL_Foundation/50-Virtual Compiler Assembly Search. ACL 2024/paper.pdf","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/60_Virtual_Compiler_for_Assembly_Search.md"
"61","2024","COCOGEN: Iterative Refinement with Compiler Feedback for Code Generation","TRANSLATOR","T5_Repair_Compiler_Feedback","TRANSLATOR_TRANSFORMER;REPAIRER","Formal_Symbolic;Static_Analysis;Compiler_Feedback","REPAIR","SOURCE;COMPILER_CONFIG","SOURCE","NONE","Compiler_Diagnostic","Multi_Signal","NO","NONE","NO","中","HIGH","The model directly emits repaired source code using compiler feedback; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/05_Repair_Compiler_Feedback/51-Iterative Refinement Compiler Feedback. ACL 2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/05_Repair_Compiler_Feedback/61_COCOGEN_Compiler_Feedback.md"
"62","2024","LLM4Decompile: Decompiling Binary Code with Large Language Models","TRANSLATOR","T6_Decompilation_LowLevel_Recovery","TRANSLATOR_TRANSFORMER","NONE","DECOMPILATION;TRANSLATION","BINARY;ASM","SOURCE","x86","NONE","NONE","NO","NONE","NO","低","HIGH","The model directly emits recovered source code from low-level input; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/52-LLM4Decompile Decompiling Binary. EMNLP 2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/62_LLM4Decompile.md"
"63","2023","GENNM: Improving Decompilation by LLM + Program Analysis","TRANSLATOR","T6_Decompilation_LowLevel_Recovery","TRANSLATOR_TRANSFORMER","NONE","DECOMPILATION;TRANSLATION","BINARY;ASM","SOURCE","NONE","NONE","NONE","YES","NONE","NO","低","HIGH","The model directly emits recovered source code from low-level input; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/53-LMPA Decompilation LLM+Program Analysis. arXiv 2023/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/63_GENNM_Decompiler_Name_Recovery.md"
"64","2025","AutoComp: LLM-driven Code Optimization for Tensor Accelerators","TRANSLATOR","T4_GPU_Kernel_Accelerator_Optimization","TRANSLATOR_TRANSFORMER","Search","OPT;AUTOTUNING","SOURCE","SOURCE","RISC-V;GPU","NONE","NONE","NO","NONE","NO","高","HIGH","The model directly emits an optimized accelerator kernel; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/04_GPU_Kernel_Accelerator_Optimization/54-AutoComp LLM Code Opt Tensor. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/04_GPU_Kernel_Accelerator_Optimization/64_Autocomp_Tensor_Accelerator_Optimization.md"
"65","2025","ECO: LLM-driven Efficient Code Optimizer for Warehouse Scale","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","Search","OPT","SOURCE","SOURCE","NONE","NONE","NONE","YES","NONE","NO","高","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/01_Source_Optimization_Refactoring/55-ECO LLM Code Optimizer Warehouse. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/65_ECO_Warehouse_Scale_Code_Optimizer.md"
"66","2025","CUDA-L1: Improving CUDA Optimization via Contrastive Reinforcement Learning","TRANSLATOR","T4_GPU_Kernel_Accelerator_Optimization","TRANSLATOR_TRANSFORMER","RL;Search","OPT;AUTOTUNING","SOURCE","SOURCE","CUDA;GPU","Runtime","Runtime","YES","NONE","NO","低","HIGH","The model directly emits an optimized accelerator kernel; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/04_GPU_Kernel_Accelerator_Optimization/56-CUDA-L1 Contrastive RL CUDA. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/04_GPU_Kernel_Accelerator_Optimization/66_CUDA_L1_Contrastive_RL.md"
"67","2024","SLaDe: A Portable Small Language Model Decompiler","TRANSLATOR","T6_Decompilation_LowLevel_Recovery","TRANSLATOR_TRANSFORMER","NONE","DECOMPILATION;TRANSLATION","BINARY;ASM","SOURCE","x86;ARM","NONE","NONE","NO","NONE","NO","中","HIGH","The model directly emits recovered source code from low-level input; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/57-SLADE Portable SLM Decompiler. arXiv 2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/67_SLaDe_Portable_Decompiler.md"
"68","2025","CompileAgent: Automated Repository-Level Compilation with LLM Agent","TRANSLATOR","T5_Repair_Compiler_Feedback","TRANSLATOR_TRANSFORMER;REPAIRER","Search;Agent_Tool_Use","REPAIR","SOURCE;COMPILER_CONFIG","SOURCE","NONE","Compiler_Diagnostic","Compiler_Diagnostic","YES","NONE","YES","低","HIGH","The model directly emits repaired source code using compiler feedback; therefore its primary compiler role is TRANSLATOR. Audit evidence: ErrorSolver emits repository repair code after compiler diagnostics; tool orchestration is auxiliary, so the final LM role is Translator.","NO","02_LLM_as_Translator/05_Repair_Compiler_Feedback/58-CompileAgent Repo-Level Compilation. ACL 2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/05_Repair_Compiler_Feedback/68_CompileAgent_Repo_Level_Compilation.md"
"69","2024","AIOS: LLM as Interpreter for Natural Language Programming","SUPPORTING","B6_Survey_Evaluation_Methodology","INFRA_EVALUATOR","Agent_Tool_Use","ANALYSIS","SOURCE;LLVM_IR","SOURCE;LLVM_IR","NONE","NONE","NONE","NO","NONE","YES","低","HIGH","The work evaluates or surveys systems rather than proposing one core LM compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING. Audit evidence: The note explicitly identifies AIOS as an agent-interpreter framework, not a code-generation or compiler-optimization mechanism.","NO","90_Supporting/06_Survey_Evaluation_Methodology/59-AIOS Compiler LLM as Interpreter. arXiv 2024/paper.pdf","文献逐篇阅读/90_Supporting/06_Survey_Evaluation_Methodology/69_AIOS_Compiler_Natural_Language_Programming.md"
"70","2024","Don't Transform the Code, Code the Transforms","GENERATOR","G2_Optimization_Rule_Transform_Generation","GENERATOR","NONE","GENERATION;OPT","SOURCE;LLVM_IR","COMPILER_CONFIG","NONE","NONE","Functional_Test","NO","NONE","NO","中","HIGH","The model synthesizes reusable rewrite rules or transformation programs, not merely one input instance; therefore its primary compiler role is GENERATOR.","NO","03_LLM_as_Generator/02_Optimization_Rule_Transform_Generation/60-Dont Transform Code Code Transforms. arXiv 2024/paper.pdf","文献逐篇阅读/03_LLM_as_Generator/02_Optimization_Rule_Transform_Generation/70_Code_the_Transforms.md"
"71","2025","STARK: A Strategic Team of Agents for Refining Kernels","TRANSLATOR","T4_GPU_Kernel_Accelerator_Optimization","TRANSLATOR_TRANSFORMER","Search;Profiling","OPT;AUTOTUNING","SOURCE","SOURCE","GPU","Profiler","Profiler","YES","NONE","NO","中","HIGH","The model directly emits an optimized accelerator kernel; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/04_GPU_Kernel_Accelerator_Optimization/61-STARK Strategic Team for Kernels. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/04_GPU_Kernel_Accelerator_Optimization/71_STARK_Multi_Agent_GPU_Kernels.md"
"72","2021","Evaluating Large Language Models Trained on Code","SUPPORTING","B1_Benchmark_Dataset","INFRA_EVALUATOR","NONE","ANALYSIS;TESTING","SOURCE;LLVM_IR","SOURCE;LLVM_IR","NONE","NONE","Functional_Test","YES","NONE","NO","中高","HIGH","The work provides a benchmark or dataset rather than a core LM compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/01_Benchmark_Dataset/62-Evaluating LLMs Trained on Code. arXiv 2021/paper.pdf","文献逐篇阅读/90_Supporting/01_Benchmark_Dataset/72_Codex_and_HumanEval.md"
"73","2024","DeepSeekMath: Pushing the Limits of Mathematical Reasoning in LLMs","SUPPORTING","B3_LLM_RL_Foundation","INFRA_EVALUATOR","SFT;RL;GRPO","ANALYSIS","NL;SOURCE","SOURCE","NONE","NONE","NONE","YES","NONE","NO","低","HIGH","The work provides a foundation model or learning foundation rather than one final compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/03_LLM_RL_Foundation/63-DeepSeekMath Mathematical Reasoning. arXiv 2024/paper.pdf","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/73_DeepSeekMath_and_GRPO.md"
"74","2025","Algorithmic Language Models with Neurally Compiled Libraries","SUPPORTING","B3_LLM_RL_Foundation","INFRA_EVALUATOR","NONE","ANALYSIS","NL;SOURCE","SOURCE","NONE","NONE","NONE","NO","NONE","NO","低","HIGH","The work provides a foundation model or learning foundation rather than one final compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/03_LLM_RL_Foundation/64-Algorithmic LMs Neurally Compiled. arXiv 2025/paper.pdf","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/74_Algorithmic_LMs_with_Neurally_Compiled_Libraries.md"
"75","2023","GPT-4 Technical Report","SUPPORTING","B3_LLM_RL_Foundation","INFRA_EVALUATOR","RL","ANALYSIS","NL;SOURCE","SOURCE","NONE","NONE","NONE","YES","NONE","NO","低","HIGH","The work provides a foundation model or learning foundation rather than one final compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/03_LLM_RL_Foundation/65-GPT-4 Technical Report. arXiv 2024/paper.pdf","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/75_GPT_4_Technical_Report.md"
"76","2023","Gemini: A Family of Highly Capable Multimodal Models","SUPPORTING","B3_LLM_RL_Foundation","INFRA_EVALUATOR","NONE","ANALYSIS","NL;SOURCE","SOURCE","NONE","NONE","NONE","YES","NONE","NO","低","HIGH","The work provides a foundation model or learning foundation rather than one final compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/03_LLM_RL_Foundation/66-Gemini Multimodal Models. arXiv 2023/paper.pdf","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/76_Gemini_Multimodal_Models.md"
"77","2024","LLMs as Compiler for Arabic Programming Language","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","NONE","OPT","SOURCE","SOURCE","NONE","NONE","NONE","NO","NONE","NO","低","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/01_Source_Optimization_Refactoring/67-LLMs as Compiler Arabic PL. arXiv 2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/77_Arabic_Programming_Language_with_LLM.md"
"78","2023","AutoChip: Automating HDL Generation Using LLM Feedback","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","Compiler_Feedback","OPT","SOURCE","SOURCE","NONE","Compiler_Diagnostic","NONE","YES","NONE","NO","中","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/01_Source_Optimization_Refactoring/68-AutoChip Automated HDL Generation. arXiv 2023/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/78_AutoChip_HDL_Feedback.md"
"79","2023","PIE: Learning Performance-Improving Code Edits","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","CoT","OPT","SOURCE","SOURCE","NONE","Runtime","Multi_Signal","YES","NONE","NO","中","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/01_Source_Optimization_Refactoring/69-Learning Perf-Improving Code Edits. arXiv 2023/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/79_PIE_Performance_Improving_Code_Edits.md"
"80","2025","SymRTLo: Enhancing RTL Optimization with LLMs and Symbolic Reasoning","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","Formal_Symbolic","OPT","SOURCE","SOURCE","NONE","Verifier_Feedback","Formal_Equivalence","YES","NONE","NO","中","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/01_Source_Optimization_Refactoring/70-SymRTLo RTL LLM Symbolic Reasoning. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/80_SymRTLO_Neuro_Symbolic_RTL_Optimization.md"
"81","2024","Hierarchical Prompting for LLM-Based Chip Design","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","Prompting","OPT","SOURCE","SOURCE","NONE","NONE","NONE","YES","NONE","NO","低","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/01_Source_Optimization_Refactoring/71-Rome Not Built Hierarchical Chip Design. arXiv 2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/81_Hierarchical_Prompting_for_Chip_Design.md"
"82","2024","Make Every Move Count: LLM-Based RTL Code Generation Using MCTS","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","Search;MCTS","OPT","SOURCE","SOURCE","NONE","Compiler_Diagnostic","Compiler_Diagnostic","YES","NONE","NO","低","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/01_Source_Optimization_Refactoring/72-Make Every Move LLM RTL MCTS. arXiv 2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/82_MCTS_RTL_Generation.md"
"83","2025","QiMeng-xpiler: Transcompiling Tensor Programs with Neural-Symbolic Approach","TRANSLATOR","T3_Translation_CrossLanguage_CrossISA","TRANSLATOR_TRANSFORMER","Search;Formal_Symbolic","TRANSLATION","SOURCE;ASM;BINARY","SOURCE;ASM","CUDA","NONE","NONE","NO","NONE","NO","中","HIGH","The model directly emits a translated program representation; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/73-Qimeng-xpiler Tensor Transcompile. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/83_QiMeng_Xpiler_Neural_Symbolic_Transcompiler.md"
"84","2025","Kevin: Multi-Turn RL for Generating CUDA Kernels","TRANSLATOR","T4_GPU_Kernel_Accelerator_Optimization","TRANSLATOR_TRANSFORMER","RL;PPO","OPT;AUTOTUNING","SOURCE","SOURCE","CUDA;GPU","NONE","NONE","NO","NONE","NO","低","HIGH","The model directly emits an optimized accelerator kernel; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/04_GPU_Kernel_Accelerator_Optimization/74-Kevin MultiTurn RL CUDA Kernels. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/04_GPU_Kernel_Accelerator_Optimization/84_Kevin_Multi_Turn_RL_CUDA.md"
"85","2025","Insights from Verification: Training Verilog LLM with Reinforcement Learning","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","RL;DPO","OPT","SOURCE","SOURCE","NONE","NONE","NONE","YES","NONE","NO","中","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/01_Source_Optimization_Refactoring/75-Insights Verification Verilog RL. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/85_Verilog_RL_with_Testbench_Feedback.md"
"86","2025","Verilocc: Cross-Architecture Register Allocation via LLM","SELECTOR","S2_Schedule_Config_Autotuning","SELECTOR_POLICY","Formal_Symbolic;Search","AUTOTUNING;OPT","LLVM_IR;HW_CONFIG","COMPILER_CONFIG","GPU","Verifier_Feedback","NONE","NO","NONE","NO","中","HIGH","The model selects a schedule, configuration, or autotuning setting; therefore its primary compiler role is SELECTOR.","NO","01_LLM_as_Selector/02_Schedule_Config_Autotuning/76-Verilocc Cross-Arch Register Alloc. arXiv 2025/paper.pdf","文献逐篇阅读/01_LLM_as_Selector/02_Schedule_Config_Autotuning/86_Verilocc_Cross_Architecture_Register_Allocation.md"
"87","2025","HPCTransCompile: AI Compiler Dataset for CUDA Transpilation","SUPPORTING","B1_Benchmark_Dataset","INFRA_EVALUATOR","Search","ANALYSIS;TESTING","SOURCE;LLVM_IR","SOURCE;LLVM_IR","CUDA","NONE","NONE","YES","TVM","NO","低","HIGH","The work provides a benchmark or dataset rather than a core LM compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/01_Benchmark_Dataset/77-HPCTranCompile CUDA Dataset. arXiv 2025/paper.pdf","文献逐篇阅读/90_Supporting/01_Benchmark_Dataset/87_HPCTransCompile_CUDA_Transpilation_Dataset.md"
"88","2023","AVATAR: A Parallel Corpus for Java-Python Program Translation","SUPPORTING","B1_Benchmark_Dataset","INFRA_EVALUATOR","NONE","ANALYSIS;TESTING","SOURCE;LLVM_IR","SOURCE;LLVM_IR","NONE","NONE","Functional_Test","YES","NONE","NO","低","HIGH","The work provides a benchmark or dataset rather than a core LM compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/01_Benchmark_Dataset/78-AVATAR Java-Python Translation. ACL 2023/paper.pdf","文献逐篇阅读/90_Supporting/01_Benchmark_Dataset/88_AVATAR_Java_Python_Translation.md"
"89","2023","BinSum: Binary Code Summarization Benchmarking ChatGPT/GPT-4","SUPPORTING","B1_Benchmark_Dataset","INFRA_EVALUATOR","CoT","ANALYSIS;TESTING","SOURCE;LLVM_IR","SOURCE;LLVM_IR","GCC;x86;ARM;MULTI_PLATFORM","NONE","NONE","YES","NONE","NO","低","HIGH","The work provides a benchmark or dataset rather than a core LM compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/01_Benchmark_Dataset/79-Binary Code Summarization Benchmark. arXiv 2023/paper.pdf","文献逐篇阅读/90_Supporting/01_Benchmark_Dataset/89_BinSum_Binary_Code_Summarization.md"
"N03","2024","StepCoder: Improving Code Generation with Reinforcement Learning from Compiler Feedback","TRANSLATOR","T5_Repair_Compiler_Feedback","TRANSLATOR_TRANSFORMER;REPAIRER","SFT;RL;PPO;Compiler_Feedback","REPAIR","SOURCE;COMPILER_CONFIG","SOURCE","NONE","Compiler_Diagnostic","Functional_Test","NO","NONE","NO","中","HIGH","The model directly emits repaired source code using compiler feedback; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/05_Repair_Compiler_Feedback/01-StepCoder-RL-Compiler-Feedback-ACL2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/05_Repair_Compiler_Feedback/N03_StepCoder_文献阅读总结.md"
"N04","2024","ECCO: Can We Improve Model-Generated Code Efficiency Without Sacrificing Functional Correctness?","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","RL","OPT","SOURCE","SOURCE","NONE","NONE","NONE","YES","NONE","NO","低","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/01_Source_Optimization_Refactoring/02-ECCO-Code-Efficiency-EMNLP2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/N04_ECCO_Code_Efficiency_文献阅读总结.md"
"N05","2024","Rethinking Code Refinement: Learning to Judge Code Efficiency","SUPPORTING","B6_Survey_Evaluation_Methodology","INFRA_EVALUATOR","RL;Search","ANALYSIS","SOURCE;LLVM_IR","SOURCE;LLVM_IR","NONE","Runtime","Runtime","NO","NONE","NO","低","HIGH","The work evaluates or surveys systems rather than proposing one core LM compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING. Audit evidence: The model judges which pre-existing code edit is faster; it evaluates candidates but does not select a compiler action for a compiler system.","NO","90_Supporting/06_Survey_Evaluation_Methodology/03-Rethinking-Code-Refinement-EMNLP2024/paper.pdf","文献逐篇阅读/90_Supporting/06_Survey_Evaluation_Methodology/N05_Judging_Code_Efficiency_文献阅读总结.md"
"N06","2024","Unprecedented Code Change Automation: The Fusion of LLMs and Transformation by Example","GENERATOR","G2_Optimization_Rule_Transform_Generation","GENERATOR","RL;Search;Static_Analysis","GENERATION;OPT","SOURCE;LLVM_IR","COMPILER_CONFIG","NONE","NONE","Static_Analysis","NO","NONE","NO","中","HIGH","The model synthesizes reusable rewrite rules or transformation programs, not merely one input instance; therefore its primary compiler role is GENERATOR. Audit evidence: The workflow derives and applies reusable transformation rules across projects, rather than returning only one transformed program instance.","NO","03_LLM_as_Generator/02_Optimization_Rule_Transform_Generation/06-Code-Change-Automation-FSE2024/paper.pdf","文献逐篇阅读/03_LLM_as_Generator/02_Optimization_Rule_Transform_Generation/N06_PyCraft_文献阅读总结.md"
"N07","2025","Search-Based LLMs for Code Optimization","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","RL;CoT;Search;Evolutionary","OPT","SOURCE","SOURCE","NONE","NONE","NONE","NO","NONE","NO","中高","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/01_Source_Optimization_Refactoring/09-Search-Based-LLMs-Code-Opt-ICSE2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/N07_SBLLM_文献阅读总结.md"
"N08","2025","Speed Up Your Code: Progressive Code Acceleration Through Bidirectional Tree Editing","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","RL","OPT","SOURCE","SOURCE","NONE","NONE","NONE","NO","NONE","NO","低","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/01_Source_Optimization_Refactoring/10-Speed-Up-Code-Bidirectional-Tree-ACL2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/N08_BITE_文献阅读总结.md"
"N09","2025","DecLLM: LLM-Augmented Recompilable Decompilation for Enabling Programmatic Use of Decompiled Code","TRANSLATOR","T6_Decompilation_LowLevel_Recovery","TRANSLATOR_TRANSFORMER","RL","DECOMPILATION;TRANSLATION","BINARY;ASM","SOURCE","NONE","Compiler_Diagnostic","Multi_Signal","NO","NONE","NO","低","HIGH","The model directly emits recovered source code from low-level input; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/11-DecLLM-Recompilable-Decompilation-ISSTA2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/N09_DecLLM_文献阅读总结.md"
